Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,Island_encoded,Cluster
4/5/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0,1,1
4/6/2020,ID-YO,Daerah Istimewa Yogyakarta,3,0,1,2,26,3,6,17,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.83,7.16,0.0,0.83,0.08,11.54%,23.08%,3.0,1.0,0,1
4/6/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0,1,1
4/7/2020,ID-YO,Daerah Istimewa Yogyakarta,1,0,0,1,27,3,6,18,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.28,7.44,0.0,0.83,0.08,11.11%,22.22%,0.33,1.0,0,1
4/7/2020,ID-PA,Papua,0,1,0,-1,25,4,6,15,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,0.0,5.76,0.23,0.92,0.09,16.00%,24.00%,1.0,1.0,1,1
4/7/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0,1,1
4/8/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0,1,1
4/9/2020,ID-YO,Daerah Istimewa Yogyakarta,3,0,3,0,34,6,12,16,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.83,9.36,0.0,1.65,0.17,17.65%,35.29%,0.75,0.0,0,1
4/9/2020,ID-PA,Papua,0,0,0,0,36,4,6,26,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,0.0,8.29,0.0,0.92,0.09,11.11%,16.67%,0.0,1.0,1,1
4/9/2020,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0,1,1
